id,water_level,co2_ppm,soil_moisture,air_temp,air_humidity,door_status,growth_stage,light_status,time_created
55,EMPTY,1772.00,MOIST,23.10,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
56,EMPTY,1527.00,MOIST,23.10,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
57,EMPTY,1350.00,MOIST,23.10,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
58,EMPTY,1177.00,MOIST,23.40,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
59,EMPTY,1185.00,MOIST,23.40,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
60,EMPTY,1211.00,MOIST,23.40,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
61,EMPTY,1440.00,MOIST,23.40,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
62,EMPTY,2207.00,MOIST,23.40,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
63,EMPTY,2472.00,MOIST,23.50,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
64,EMPTY,2350.00,MOIST,23.50,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
65,EMPTY,2002.00,MOIST,23.40,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
66,EMPTY,1646.00,MOIST,23.40,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
67,EMPTY,1456.00,MOIST,23.40,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
68,Empty,1200,700,27.3,200,OPEN,Vegetation,ON,"2018-07-27 02:59:50.963430"
69,Empty,1200,700,27.3,200,OPEN,Vegetation,ON,"2018-07-27 02:59:50.963430"
70,Empty,1200,700,27.3,200,OPEN,Vegetation,ON,"2018-07-27 03:04:30.016825"
71,"NOT EMPTY",643.00,"NEEDS WATER",20.40,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
72,"NOT EMPTY",659.00,"NEEDS WATER",20.40,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
73,"NOT EMPTY",1041.00,"NEEDS WATER",20.40,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
74,"NOT EMPTY",1941.00,"NEEDS WATER",20.40,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
75,"NOT EMPTY",1740.00,"NEEDS WATER",20.40,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
76,"NOT EMPTY",1384.00,MOIST,20.40,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
77,"NOT EMPTY",1142.00,MOIST,20.50,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
78,"NOT EMPTY",1481.00,MOIST,20.50,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
79,"NOT EMPTY",2091.00,MOIST,20.50,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
80,"NOT EMPTY",725.00,MOIST,20.80,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
81,"NOT EMPTY",1264.00,MOIST,20.80,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
82,"NOT EMPTY",2032.00,MOIST,20.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
83,"NOT EMPTY",1997.00,MOIST,20.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
84,"NOT EMPTY",1720.00,MOIST,20.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
85,"NOT EMPTY",1441.00,MOIST,20.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
86,"NOT EMPTY",1257.00,MOIST,20.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
87,"NOT EMPTY",1102.00,MOIST,20.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
88,"NOT EMPTY",1564.00,MOIST,20.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
89,"NOT EMPTY",2053.00,MOIST,20.90,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
90,"NOT EMPTY",1921.00,MOIST,20.90,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
91,"NOT EMPTY",1638.00,MOIST,20.90,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
92,"NOT EMPTY",1430.00,MOIST,20.90,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
93,"NOT EMPTY",1212.00,MOIST,20.90,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
94,"NOT EMPTY",1079.00,MOIST,21.00,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
95,"NOT EMPTY",957.00,MOIST,21.00,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
96,"NOT EMPTY",894.00,MOIST,21.00,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
97,"NOT EMPTY",839.00,MOIST,21.00,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
98,"NOT EMPTY",819.00,MOIST,21.00,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
99,"NOT EMPTY",750.00,MOIST,21.00,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
100,"NOT EMPTY",716.00,MOIST,21.00,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
101,"NOT EMPTY",693.00,MOIST,21.00,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
102,"NOT EMPTY",683.00,MOIST,21.00,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
103,"NOT EMPTY",1212.00,MOIST,21.10,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
104,"NOT EMPTY",1988.00,MOIST,21.10,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
105,"NOT EMPTY",1989.00,MOIST,21.10,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
